BASE_DATE,SIDO_CD,SIDO_NM,역번호,역사명,노선번호,노선명,역위도,역경도,역사도로명주소
20240630,31,경기도,1859,오리역,I4105,분당선,37.339832,127.108985,경기도 성남시 분당구 성남대로 지하 55(구미동 795)
20240630,31,경기도,1860,이매역,I4105,분당선,37.395846,127.128272,경기도 성남시 성남대로 지하 738
20240630,31,경기도,1857,정자역,I4105,분당선,37.366037,127.108091,경기도 성남시 분당구 성남대로 지하 333(정자동)
20240630,31,경기도,1862,죽전역,I4105,분당선,37.324575,127.107385,경기도 용인시 수지구 포은대로 530(죽전동 1014)
20240630,31,경기도,1867,청명역,I4105,분당선,37.259485,127.078945,경기도 수원시 영통구 봉영로 지하 1670
20240630,31,경기도,1852,태평역,I4105,분당선,37.439842,127.127746,경기도 성남시 수정구 성남대로 지하 1229번지
20240630,31,경기도,1953,대곡역,I4106,일산선,37.631629,126.811025,경기도 고양시 덕양구 대주로 107번길 71-81(대장동 420-1)
20240630,31,경기도,1958,대화역,I4106,일산선,37.675883,126.747756,경기도 고양시 일산서구 중앙로 1569(대화동 2221)
20240630,31,경기도,1955,마두역,I4106,일산선,37.652185,126.777641,경기도 고양시 일산동구 중앙로 지하 1180(마두동)
20240630,31,경기도,1954,백석역,I4106,일산선,37.642973,126.788109,경기도 고양시 일산동구 중앙로 1042
20240630,31,경기도,1950,삼송역,I4106,일산선,37.653096,126.895559,경기도 고양시 덕양구 삼송로 194
20240630,31,경기도,1951,원당역,I4106,일산선,37.653103,126.842891,경기도 고양시 덕양구 덕양대로 1429(성사1동 4100-7)
20240630,31,경기도,1948,원흥역,I4106,일산선,37.650709,126.873239,"경기도 고양시 덕양구 권율대로 681 (원흥동, 원흥역) 원흥역"
20240630,31,경기도,1956,정발산역,I4106,일산선,37.659709,126.773254,경기도 고양시 일산동구 마두 1동 1123(일산동구 중앙로 1270)
20240630,31,경기도,1957,주엽역,I4106,일산선,37.670138,126.761232,경기도 고양시 일산서구 중앙로 1432(주엽동 166-7)
20240630,31,경기도,1949,지축역,I4106,일산선,37.648114,126.913746,경기도 고양시 덕양구 삼송로 300(지축동)
20240630,31,경기도,1952,화정역,I4106,일산선,37.637837,126.832503,경기도 고양시 덕양구 화정로 60 화정역
20240630,31,경기도,1269,강매역,I4108,경의중앙선,37.612596,126.845437,경기도 고양시 덕양구 소원로 202
20240630,31,경기도,1272,곡산역,I4108,경의중앙선,37.645729,126.801877,경기도 고양시 일산동구 경의로 160(백석동)
20240630,31,경기도,1214,국수역,I4108,경의중앙선,37.516171,127.399402,경기도 양평군 양서면 국수역길 45
20240630,31,경기도,1279,금릉역,I4108,경의중앙선,37.751295,126.765401,경기도 파주시 금릉역로85
20240630,31,경기도,1280,금촌역,I4108,경의중앙선,37.766106,126.774515,경기도 파주시 새꽃로 193
20240630,31,경기도,1271,능곡역,I4108,경의중앙선,37.618741,126.820845,경기도 고양시 덕양구 토당로 35(토당동 454-3)
20240630,31,경기도,1953,대곡역,I4108,경의중앙선,37.631629,126.811025,경기도 고양시 덕양구 대주로 107번길 71-81(대장동 420-1)
20240630,31,경기도,1208,덕소역,I4108,경의중앙선,37.586892,127.208835,경기도 남양주시 와부읍 덕서로 56(덕소리 590-17)
20240630,31,경기도,1206,도농역,I4108,경의중앙선,37.608756,127.161105,경기도 남양주시 경춘로 433(도농동 56-1)
20240630,31,경기도,1209,도심역,I4108,경의중앙선,37.579628,127.222798,경기도 남양주시 와부읍 덕소로 237(도곡리 1024-2)
20240630,31,경기도,1284,문산역,I4108,경의중앙선,37.854565,126.787531,경기도 파주시 문산읍 문산역로 94
20240630,31,경기도,1273,백마역,I4108,경의중앙선,37.658346,126.794401,경기도 고양시 일산동구 경의로 318(풍동 482-8)
20240630,31,경기도,1213,신원역,I4108,경의중앙선,37.525921,127.372745,경기도 양평군 양서면 신원역길 7  
,,,,,,,,,
20240630,31,경기도,1215,아신역,I4108,경의중앙선,37.513954,127.443238,경기도 양평군 옥천면 아신역길 1길 23-3
20240630,31,경기도,1277,야당역,I4108,경의중앙선,37.712749,126.761535,경기도 파주시 소리천로 10
20240630,31,경기도,1212,양수역,I4108,경의중앙선,37.545998,127.328948,경기도 양평군 양서면 목왕로 55-10
20240630,31,경기도,1207,양정역,I4108,경의중앙선,37.604269,127.194602,경기도 남양주시 경강로 237(이패동 398-32)
20240630,31,경기도,1217,양평역,I4108,경의중앙선,37.492674,127.491858,경기도 양평군 양평읍 역전길 30
20240630,31,경기도,1216,오빈역,I4108,경의중앙선,37.506061,127.474053,경기도 양평군 양평읍 덕바위길 58
20240630,31,경기도,1219,용문역,I4108,경의중앙선,37.482085,127.594251,경기도 양평군 용문면 다문리 748-2
